id_cas;cas_nom_dossier;cas_zone_nom;cas_zone_code;cas_zone_type;cas_AAAA;cas_MM;cas_JJ;cas_resume;cas_resume_web;cas_public;cas_temoignages_nb;cas_temoins_nb;cas_temoins_nb_approx;cas_nb_PAN;cas_nb_PAN_approx;cas_MinCercleInscrit_Lat;cas_MinCercleInscrit_Lng;cas_MinCercleInscrit_Err;cas_date_maj;cas_etrangete;cas_etrangete_err;cas_etrangete_calc;cas_etrangete_calc_err;cas_fiabilite;cas_fiabilite_err;cas_fiabilite_calc;cas_qte_information;cas_qte_information_calc;cas_consistance;cas_consistance_calc;cas_consistance_calc_err;cas_classification;cas_classification_calc;cas_numEtude
2;"MARIGOT (LE) (972) --.--.1937";Martinique;972;"(D) Departement";1937;--;--;"Temoignage recent (11/09/1979) d'une observation ancienne faite en 1937 dans l'Est de la Martinique (le temoin ne se souvient plus de la date du jour et mois ; le premier janvier est une date donnee arbitrairement.).<br> Le temoin rapporte avoir vu e 18h le passage Ouest-Est d'un globe bien eclaire par le soleil couchant progressant lentement. Le temoin decrit le phenomene comme ayant un diametre superieur e la Lune. Le phenomene disparait progressivement e l'horizon. L'observation a dure pres d'une minute.<br> Aucun autre temoignage n'a ete recueilli. Le GEIPAN classe de cas en C : manque de precisions.";"Observation du deplacement d'un globe eclaire par le soleil couchant ; disparition e l'horizon : manque d'information.";O;1;;;;;;;;2015-12-07;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1937-01-01656
3;"[AERO MIL] ORANGE (84) 15.06.1951";Vaucluse;84;"(D) Departement";1951;06;15;"Le 15 juin 1951 e 11h30 deux pilotes decollent de la base aerienne d'Orange-Caritat. Un des pilotes  est surpris de voir un engin d'apparence circulaire ou spherique argente et tres brillant dans le ciel. Il informe son chef de patrouille qui l'apereoit e son tour. L'engin est stationnaire et situe, d'apres un des pilotes, dans le sud du massif du Pelvoux (massif des Ecrins) e la meme altitude que les sommets du Pelvoux et que son avion (10 000pieds). Les deux avions poursuivent cet engin qui leur semble grossir. L'engin se deplace ensuite sur une trajectoire legerement montante en prenant une forme oblongue. L'observation simultanee durera environ 6 minutes avant que l'engin ne disparaisse sous la forme d'un point e l'horizon.<br> L'enquete de l'epoque menee par le commandant de la base confirme la credibilite des observations.<br> On note que certaines descriptions dans ces temoignages font penser e un ballon stratospherique observe de loin. Neanmoins du fait que l'un des pilotes signale un eloignement rapide de l'objet quant il tente de s'en rapproocher, ne convient pas e cette hypothese. Le GEIPAN classe ce cas en D1 : phenomene etrange non identifie.";"Observations par deux pilotes en vol d'un phenomene tres brillant stationnaire puis en deplacement dans le ciel ; poursuite avant disparition e l'horizon : phenomene etrange non identifie.";O;2;2;;;;;;;2017-01-16;;;0.63;0.13;;;;;;;0.78;0.23;D1;D1;1951-06-00002
4;"BIARRITZ (64) --.08.1951";Pyrenees-Atlantiques;64;"(D) Departement";1951;08;--;"Temoignage recent (20/03/1975) d'une observation ancienne (le temoin ne se souvient pas de la date du jour exacte ; le cas est date arbitrairement du 01/08/1951).<br> En aout 1951 vers minuit un temoin e Biarritz au bord d'une falaise est surpris par le passage le long de la cete d'une masse volante ayant la forme de deux assiettes e soupe accolees portant sur son pourtour des zones en forme de hublots d'oe emane une fluorescence verdetre. La trajectoire donnee par le temoin est N-S puis E-O. L'objet est vu durant 10 e 15 secondes. Effraye le temoin se jette au sol entrainant sa femme qui verra egalement la masse se deplacer. Aucun bruit n'est entendu. Les temoins se relevent mais l'objet a disparu. Un seul temoignage est recueilli.<br> Certains aspects du temoignage font penser e une observation de bolide : la duree d'observation du phenomene, l'impression de proximite, la fluorescence verdetre. Neanmoins certains autres details ne conviennent pas pour cette hypothese (masse volante, changement de direction). La meconnaissance de la date precise, l'unicite du temoignage et le delai important entre l'evenement et le recit rendent ce temoignage peu consistant. Le GEIPAN classe ce cas en C par manque d'information essentielle et de recoupement.";"OBSERVATION DU DePLACEMENT SILENCIEUX AVEC CHANGEMENT DE DIRECTION D'UNE MASSE DE LA FORME DE DEUX ASSIETTES ACCOLLeES AVEC DES ZONES VERT FLUORESCENT SUR LE POURTOUR, DePLACEMENT RAPIDE : manque d'information.";O;1;;;;;;;;2016-12-19;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1951-08-00003
5;"PORT-GENTIL (GA.8) 01.06.1952";Ardennes;8;"(D) Departement";1952;06;01;"Le 1er juin 1952 e 2h40 du matin, deux personnes d'un equipage d'un navire au mouillage en rade de Port-Gentil (Gabon), observent un phenomene lumineux dans le ciel. Dans un premier temps le second capitaine voit tres distinctement un objet venant de l'interieur des terres qui stoppe, vire sur la droite et reprend sa route initiale ceci e deux reprises (le deuxieme virage ayant eu lieu e la verticale du navire). Il telephone au commandant qui regarde alors avec des jumelles et qui voit durant trois minutes une lueur circulaire orange extremement lumineuse et phosphorescente. Celle-ci se deplace e tres grande vitesse suivant une trajectoire sensiblement rectiligne. Le commandant perd de vue le phenomene.<br> Le commandant rapporte cette observation. Un croquis est realise (auteur inconnu).Aucun autre temoignage n'est recueilli.<br> Les hypotheses de bolide (meteore) ou de tir de missile ont ete emises mais non consolidees. Le GEIPAN classe ce cas D1 : phenomene etrange et non identifie.";"Observations du passage d'un phenomene lumineux avec changement de trajectoire : phenomene etrange et non identifie.";O;2;;;;;;;;2015-03-27;;;0.63;0.13;;;;;;;0.78;0.23;D1;D1;1952-06-00004
6;"CRECY-EN-PONTHIEU (80) 21.09.1952";Somme;80;"(D) Departement";1952;09;21;"Temoignage recent (21/11/2010) d'une observation ancienne (21/09/1952).<br> Le temoin, alors enfant, rentre de vacances dans la voiture de ses parents, lorsqu'ils sont arretes par un autre automobiliste au bord d'une route. Tout proche, un engin circulaire de couleur gris metallise stationne au-dessus d'un champ e environ 15m d'altitude. L'engin demarre subitement, puis redescend e sa position initiale et repart vers les nuages.<br> Aucun autre temoignage ne sera recueilli sur ce phenomene.<br>  Ce cas ancien d'une observation tres etrange a ete soumis au Geipan en 2010. Le recit ne correspond e aucune des meprises classiques. Une enquete serait bien difficile ; Comme ce cas fait partie du debut de la vague d'OVNIs des annees 50, le GEIPAN le publie tel quel sans enquete, afin qu'il puisse eventuellement etre rapproche d'autres observations semblables.<br> Ce cas issu d'un temoin unique, relate 58 ans apres les faits, est classe ""C"" par manque d'informations.";"Observation d'un engin circulaire de couleur gris metallise stationnant au-dessus d'un champ : manque d'informations.";O;1;;;;;;;;2014-09-10;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1952-09-08193
7;"LIMOGES (87) 11.04.1953";Haute-Vienne;87;"(D) Departement";1953;04;11;"Le 11 avril 1953 e 21h10 trois temoins d'un entrepet de l'armee de l'air observent le deplacement silencieux E-O d'un gros point rouge-orange. Le capitaine decrit un phenomene faisant un aller retour sur 45e de la voute celeste en 6 minutes selon une ligne brisee irreguliere formant des angles de 15e selon l'axe de deplacement. Le virage de 180e s'est fait egalement par changements de caps successifs. Les changements de caps s'effectuent toutes les secondes. Les deux autres temoins ont suivi le phenomene deux e trois minutes. Le phenomene a finalement ete perdu de vue. Un seul temoignage sera recueilli.<br> Ce phenomene n'evoque aucune des meprises connues. Le GEIPAN classe ce cas en D1: phenomene etrange non identifie.";"Observations de l'aller-retour d'un phenomene lumineux rouge-orange dans le ciel : phenomene non identifie etrange.";O;2;1;;1;;;;;2017-01-16;;;0.63;0.13;;;;;;;0.78;0.23;D1;D1;1953-04-00005
8;"VELIZY-VILLACOUBLAY (78) 03.11.1953";Yvelines;78;"(D) Departement";1953;11;03;"Le 3 novembre 1953 e 19h14 (TU soit 20h14 locale) la presse rapporte plusieurs temoignages d'observations d'une sphere lumineuse blanche dans le ciel. Ce phenomene est stationnaire dans le NE du ciel peu nuageux. Un controleur rapportera son observation sur le cahier de service de la tour le 3 novembre 1953. Il fera une deposition le 20 novembre 1953 indiquant que deux autres militaires avaient egalement fait la meme observation.<br> Une carte du ciel montre Jupiter au NE avec une forte magnitude (-2,22) et une elevation de 3,6e. Le GEIPAN classe ce cas en A :  meprise astronomique avec la planete Jupiter.";"Observation d'une sphere lumineuse blanche dans le NE du ciel : meprise astronomique avec la planete Jupiter.";O;2;;;;;;;;2015-09-23;;;0.50;0.50;;;;;;;0.28;0.28;A;C;1953-11-00006
9;"MERS-EL-KEBIR (DZ.31) --.08.1954";Autre;00;"(D) Departement";1954;08;--;"Un temoin rapporte en 2012 une observation faite en juillet ou aoet 1954 vers 20h (voir questionnaire) e Sainte-Clotilde (commune de Mers-el-Kebir) pres d'Oran (Algerie) ; le temoin, e l'epoque, avait 15 ans. Il situe par la suite son observation un jour de semaine entre le 24 et 27 aoet.<br>  A Saint-Clotilde, un jour en fin de journee, des personnes attablees sont soudain surprises de voir tomber du ciel un disque orange-feu, tres lumineux. Il suit une trajectoire descendante vers la mer mais s'arrete en plein ciel et reste immobile au-dessus de l'horizon. Le disque repart ensuite e grande vitesse dans une trajectoire ascendante e 45e vers l'Est avant de disparaitre. L'observation aura dure environ deux minutes.<br> Un seul temoignage sera recueilli sur ce phenomene. Cependant un article du Provencal du 27 aoet 1954 relate une observation de bolide vu depuis Plan-de-Cuques (13) le 22 aeut 1954 e 20h.  L'hypothese d'observation de bolide peut expliquer une grande partie de l'observation decrite dans ce cas.<br> Cependant, etant donne les nombreuses incertitudes sur ce cas : date precise inconnue, souvenir ancien donc potentiellement altere, deuxieme partie de l'observation explicable seulement par une cause physiologique non verifiable, le GEIPAN classe ce cas e C e observation non exploitable, par manque d'informations fiables.";"Observation de la chute d'un disque lumineux orange : manque d'information.";O;;;;;;;;;2015-03-27;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1954-08-08234
10;"TANGER (MA.01) 05.09.1954";Autre;MA.01;"(D) Departement";1954;09;05;"Le dimanche 05 septembre 1954 e 17h15 un couple et leur fille situes e proximite du poste hertzien des P.T.T pres du cap Spartel (Maroc) observent la presence tres haut dans le ciel d'une tache noire circulaire ayant approximativement des dimensions d'un avion. Un des temoins rapporte que durant 10 minutes il a pu suivre, en direction du Sud, les evolutions de ce phenomene sombre. Aucune lueur, aucune fumee ou etincelles ne sont remarquees. Aucun bruit n'est entendu. Les evolutions sont ponctuees par des arrets brusques. Le phenomene disparait vers l'Ouest en piquant vers la mer jusqu'e disparition e l'horizon. Un seul temoignage est recueilli avec carte et schema.<br>  L'hypothese d'un avion provenant de la base aerienne de Rabat-Sale (base de la 8eme escadre de chasse sur avions Vampire) et effectuant des acrobaties aeriennes est possible. Les points fixes pourraient correspondre au moment oe le temoin voit l'avion de face. Cependant le manque d'information concernant la taille angulaire de l'objet ainsi que sa disparition au-dessus de la mer vers l'horizon ne permet pas de consolider totalement cette hypothese.<br> Le GEIPAN classe ce cas en C par manque d'information.";"Observation des deplacements d'une teche sombre dans le ciel ; changements brusques de direction et disparition au-dessus de la mer e l'horizon : manque d'information.";O;1;;;;;;;;2015-11-19;;;0.50;0.50;;;;;;;0.28;0.28;C;C;1954-09-00007
11;"[CD47] DE HARPONVILLE (80) VERS CONTAY (80) 07.09.1954";Somme;80;"(D) Departement";1954;09;07;"Le 7 septembre 1954 vers 7h30 deux temoins se rendent e leur travail en bicyclette sur le chemin communal 47 entre Harponville (80) et Contay (80). Le temps est clair et sans brouillard. Ils  observent au sol dans un champ e 200m de la route, une forme circulaire affectee d'un mouvement oscillatoire. Les deux temoins decrivent un cylindre de couleur sombre e la  surface superieure legerement bombee et avec une ouverture sur le tour.<br> Intrigues, les temoins s'approchent e une centaine de metres et voit l'objet se lever sans bruit en oblique sur une quinzaine de metres puis e la verticale. Pendant l'ascension les temoins remarquent de la fumee gris bleue s'echappant d'un tuyau. L'observation a dure entre 4 et 5 minutes avant que le phenomene ne disparaisse dans le ciel. Les temoins apeures partent immediatement e la gendarmerie.<br> Le meme jour, l'enquete ne constate aucune trace au sol dans le champ. Un des temoin ayant deje vu des helicopteres, il affirme qu'il ne s'agit pas d'un tel appareil. Aucun autre temoignage n'est recueilli. La credibilite des temoins n'est pas mise en cause. <br> Le GEIPAN classe ce cas en D1 : phenomene non identifie etrange.";"Observations d'un objet circulaire au sol avec un mouvement d'oscillation. Decollage silencieux en oblique puis vertical en laissant echapper une fumee ; aucune trace au sol : phenomene non identifie etrange.";O;4;;;;;;;;2015-11-23;;;0.63;0.13;;;;;;;0.78;0.23;D1;D1;1954-09-00008
