id_cas;cas_numEtude;id_temoignage;tem_new;tem_chrono;obs_chrono;tem_nom_dossier;tem_title_nickname;tem_title_type;tem_resume;tem_Gi;tem_Ti;tem_Ti_type;tem_TComi;tem_age;tem_genre;tem_adr_commune;tem_adr_CP;tem_adr_dpt;tem_adr_pays;tem_xp_formation_niveau_type;tem_xp_activite_type;tem_xp_aero;tem_xp_aero_niveau;tem_xp_astro;tem_xp_astro_niveau;tem_xp_topo;tem_xp_topo_niveau;tem_xp_UFO;tem_xp_UFO_niveau;tem_obs_moyen;tem_emotions_lib;tem_activite_lib;tem_avis_interpretation_lib;tem_avis_interet_lib;tem_avis_change_lib;tem_avis_science_lib;tem_experience_change_lib;tem_photos_retouchees;tem_plans;tem_croquis;tem_public;tem_GD;tem_A;tem_PVi;tem_numSEPRA;tem_catno;id_temoignage_old;nom_temoignage_old;id_observation;obs_nb;obs_description;obs_commune_or_trajet;obs_tem_dep;obs_tem_dep_label;obs_tem_dep_vitesse;obs_AAAA;obs_MM;obs_JJ;obs_date_heure;obs_heure_plage;obs_heure_deb;obs_heure_fin;obs_heure;obs_heure_delta;obs_heure_tranche_horaire;obs_heure_approx;obs_duree_hms;obs_duree_lib;obs_duree_type;obs_1_adr_commune;obs_1_adr_CP;obs_1_adr_dpt;obs_1_adr_pays;obs_1_adr_commune_2;obs_1_adr_CP_2;obs_1_adr_dpt_2;obs_1_adr_pays_2;obs_1_cadre_reference;obs_1_cadre_reference_type;obs_1_lat;obs_1_lon;obs_1_pos_err;obs_1_env_sol;obs_1_env_sol_type;obs_1_env_relief_type;obs_conditions_tem_activite;obs_1_heure;obs_1_duree_type;obs_1_azimut;obs_1_azimut_lib;obs_1_elevation;obs_1_elevation_lib;obs_1_dist_lib;obs_1_dist_approx_type;obs_1_alt;obs_1_alt_lib;obs_1_cap;obs_1_cap_lib;obs_1_trajectoire_types;obs_1_trajectoire_lib;obs_1_dynamique_types;obs_1_vitesse_ang;obs_1_vitesse_lib;obs_1_vitesse_types;obs_1_taille_apparente_lib;obs_1_taille_apparente_type;obs_1_taille_apparente_abs;obs_1_env_odeurs_types;obs_1_tem_reaction_types;obs_conditions_apparition;obs_conditions_apparition_txt;obs_conditions_obs_direct;obs_conditions_obs_indirect;obs_conditions_env_bruit;obs_conditions_tem_activite_lib;obs_conditions_meteo;obs_conditions_meteo_lib;obs_conditions_astro;obs_conditions_astro_lib;obs_conditions_emotions;obs_1_forme_lib;obs_1_forme_types;obs_1_PAN_nature;obs_1_PAN_nature_type;obs_1_caracteristiques_types;obs_1_couleur_lib;obs_1_couleur_types;obs_1_luminosite_lib;obs_1_luminosite_types;obs_1_halo_lib;obs_1_bruit_lib;obs_1_bruit_nature_types;obs_1_bruit_intensite_types;obs_1_PAN_taille;obs_1_PAN_altitude;obs_1_distance_abs;obs_1_PAN_pos_lat;obs_1_PAN_pos_lon;obs_1_PAN_pos_approx;obs_2_cadre_reference;obs_2_cadre_reference_type;obs_2_lat;obs_2_alt;obs_2_lon;obs_2_pos_err;obs_2_env_sol;obs_2_env_sol_type;obs_2_env_relief_type;obs_2_heure;obs_2_duree_type;obs_2_azimut;obs_2_azimut_lib;obs_2_elevation;obs_2_elevation_lib;obs_2_dist_lib;obs_2_dist_approx_type;obs_2_alt_lib;obs_2_cap;obs_2_cap_lib;obs_2_trajectoire_types;obs_2_trajectoire_lib;obs_2_dynamique_types;obs_2_vitesse_ang;obs_2_vitesse_lib;obs_2_vitesse_types;obs_2_taille_apparente_lib;obs_2_taille_apparente_type;obs_2_taille_apparente_abs;obs_2_env_odeurs_types;obs_2_tem_reaction_types;obs_2_forme_lib;obs_2_forme_types;obs_2_PAN_nature;obs_2_PAN_nature_type;obs_2_caracteristiques_types;obs_2_couleur_lib;obs_2_couleur_types;obs_2_luminosite_lib;obs_2_luminosite_types;obs_2_halo_lib;obs_2_bruit_lib;obs_2_bruit_nature_types;obs_2_bruit_intensite_types;obs_2_PAN_taille;obs_2_PAN_altitude;obs_2_distance_abs;obs_2_PAN_pos_lat;obs_2_PAN_pos_lon;obs_2_PAN_pos_approx;obs_3_adr_bat;obs_3_adr_num_voie;obs_3_adr_type_voie;obs_3_adr_nom_voie;obs_3_adr_commune;obs_3_adr_CP;obs_3_adr_dpt;obs_3_adr_pays;obs_3_adr_lieu;obs_3_cadre_reference;obs_3_cadre_reference_type;obs_3_lat;obs_3_alt;obs_3_lon;obs_3_pos_err;obs_3_env_sol;obs_3_env_sol_type;obs_3_env_relief_type;obs_3_heure;obs_3_duree_type;obs_3_azimut;obs_3_azimut_lib;obs_3_elevation;obs_3_elevation_lib;obs_3_dist_lib;obs_3_dist_approx_type;obs_3_alt_lib;obs_3_cap;obs_3_cap_lib;obs_3_trajectoire_types;obs_3_trajectoire_lib;obs_3_dynamique_types;obs_3_vitesse_ang;obs_3_vitesse_lib;obs_3_vitesse_types;obs_3_taille_apparente_lib;obs_3_taille_apparente_type;obs_3_taille_apparente_abs;obs_3_env_odeurs_types;obs_3_tem_reaction_types;obs_conditions_disparition;obs_conditions_disparition_txt;obs_3_forme_lib;obs_3_forme_types;obs_3_PAN_nature;obs_3_PAN_nature_type;obs_3_caracteristiques_types;obs_3_couleur_lib;obs_3_couleur_types;obs_3_luminosite_lib;obs_3_luminosite_types;obs_3_halo_lib;obs_3_bruit_lib;obs_3_bruit_nature_types;obs_3_bruit_intensite_types;obs_3_PAN_taille;obs_3_distance_abs;obs_3_PAN_altitude;obs_3_PAN_pos_lat;obs_3_PAN_pos_lon;obs_3_PAN_pos_approx;obs_incli;obs_incli_lib;obs_deg_parcouru;obs_nb_PAN;obs_nb_PAN_lib;obs_formation;obs_formation_type;obs_caracteristiques;obs_continuite;obs_continuite_type;obs_PAN_calculs;obs_envt_equipements_actifs
2;1937-01-01656;31;0;;1937.01.01;"MARIGOT (LE) (972) --.--.1937";;;;;1;T;;;H;;;;;;"48. Contremaetres, agents de maetrise";;;;;;;;;;;;;;;;;;;;O;5859;;1;1937309697;;;;29;1;;1;;;;1937;--;--;"1937-06-15 18:00:00";18:00;;;18:00:00;16848000;;;1m;;;"MARIGOT (LE)";97225;972;;;;;;;Ciel;14.8;-61;0.0;;"Territoires artificialises - Zones urbanisees";;;;;;"le Marigot";;80e;;;;;270.00;;Inconnu;;;;;Lente;"diametre superieur e celui de la Lune";"x < 0.04e ou ""Ponctuelle""";;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Soleil ou Nuit claire";;;;;;"3D - 2 axes de symetrie - Spherique, Boule";globe;Autre;"Objet unique";;Blanc;opaque;"Type - Nature: autre";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;"le Marigot";;;;;;;;Inconnu;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
3;1951-06-00002;32;0;;1951.06.01;"[AERO MIL] ORANGE (84) 15.06.1951 T1";;;;;;T;1;;H;;;;;;"32. Cadres de la fonction publique, professions intellectuelles et  artistiques";;;;;;;;;;;;;;;;;;;;O;;126;;1951208633;51700450;;;30;1;;1;;;;1951;06;15;"1951-06-15 11:28:00";11:28;;;11:28:00;0;;;6m;"6 minutes";;ORANGE;84100;84;FR;;;;;;;44.1;4.8;0.1;;;;;;"10 mn env.";;;;;"tres eloigne entre 60 et 100 km";;;;;;;"trajectoire legerement montante evolution en fonction de l'avion";Stationnaire;;" vitesse de l'objet plus rapide que celle de l'avion (250noeuds)";;;;;;;;;;;;;;;;;;"Ronde, cigare";"3D - 2 axes de symetrie - Spherique, Boule";"Engin bizarre";;;;;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;Stationnaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;;;
3;1951-06-00002;33;0;;1951.06.02;"[AERO MIL] ORANGE (84) 15.06.1951 T2";;;;;;T;2;;F;;;;;;"32. Cadres de la fonction publique, professions intellectuelles et  artistiques";;;;;;;;;;;;;;;;;;;;O;;185;;1951208633;51700450;;;31;1;;1;;;;1951;06;15;"1951-06-15 11:23:00";11:23;;;11:23:00;0;;;6m;"6 minutes";;ORANGE;84100;84;FR;;;;;;;44.1;4.8;0.1;;;;;;"10 mn env.";;;;;;;;;;;;eloignement;Stationnaire;;" nulle puis mobile";;"non ponctuelle";;;;;;;;;;;;;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;;;;;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;Stationnaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;;;
4;1951-08-00003;34;0;;1951.08.01;"BIARRITZ (64) --.08.1951";;;;;1;T;;"40 - 49 ans";H;;;;;;"36. Cadres d'entreprise";;;;;;;;;;;;;;;;;;;;O;5081;;1;1951309372;51300068;;;32;1;;1;;;;1951;08;--;"1951-08-15 00:00:00";00:00;;;00:00:00;1296000;;;10/15s;;;BIARRITZ;64200;64;FR;;;;;;Ciel;43.5;-1.6;0.0;"en bordure de falaise";"Surfaces en eau";;;;;45.00;;;"25 metres";;;42;;45.00;;"Lineaire ou Rectiligne";;;;" virage pris rapidement";;;;;;"Action - Fuite";1;;;;;;Inconnu;;;;;"2 assiettes e soupe accollees";"Autre forme non categorisee";"masse, deux assiettes accolees";Autre;"Objet unique";;;;Inconnue;;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;"Emotion - Inquietude, Anxiete, Peur";;;;" Objet";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;315.00;;;;;;;270.00;;Inconnu;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
5;1952-06-00004;35;0;;1952.06.01;"PORT-GENTIL (GA.8) 01.06.1952";;;;1;1;T;;;H;;;;;;"36. Cadres d'entreprise";;;;;;;;;;;;;;;;;;;;O;5862;;1;1952309700;52800469;;;33;1;;1;;;;1952;06;01;"1952-06-01 02:40:00";02:40;;;02:40:00;0;;;3m;;;PORT-GENTIL;;8;GA;;;;;;Ciel;-0.7;8.8;0.8;"rade de Port-Gentil GABON";"Surfaces en eau";;;;;;"vers les terres (Eou SE)";;"altitude de 3000 e 4000 metres";;;6;;180.00;" vers les terres (Eou SE)";"Lineaire ou Rectiligne";;;;;Rapide;planete;"x < 0.04e ou ""Ponctuelle""";;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Soleil ou Nuit claire";;;;;;"Sans forme precise";;" Objet";"Objet unique";;"Orange, feu";;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;Autre;"2 virages";;;;;;;;;;;;;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;0.00;;;;;;;45.00;" cap 10e";"Lineaire ou Rectiligne";;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
6;1952-09-08193;37;0;2012.02.11;1952.09.01;"CRECY-EN-PONTHIEU (80) 21.09.1952";;;"Temoignage recent (22/11/2010) d'une observation ancienne
Le temoin, alors enfant, rentre de vacances dans la voiture de ses parents, lorsqu'ils sont arretes par un autre automobiliste au bord d'une route. Tout proche, un engin circulaire de couleur gris metallise stationne au-dessus d'un champ e environ 15m d'altitude. L'engin demarre subitement, puis redescend e sa position initiale et repart vers les nuages.";;1;T;;"10 - 19 ans";H;MARCQ-EN-BAROEUL;59700;59;FR;;"7. Retraites";;;;;;;;;;;;;;;;;;;;O;7101;;1;1952110624;;1463;"CRECY-EN-PONTHIEU (80) 21.09.1952";34;1;;1;;;;1952;09;21;"1952-09-21 12:00:00";;;;;43200;;5;3m;;;CRECY-EN-PONTHIEU;80150;80;FR;;;;;;"Paysage Rural";50.3;1.9;0.1;;"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;;;;;"au milieu d'un champ de la campagne de Crecy en Ponthieu";;"15 m au dessu d'un champ";"30 m";"<50m (tres proche)";50;;0.00;;"Stationnaire, Immobile";;;;;Inconnu;"plus ou moins 5 m de diametre";;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Belles eclaircies ou Peu nuageux";;;;;;"3D - 2 axes de symetrie - Spherique, Boule";;" Engin";"Objet unique";;;"lumiere verdatre passant e traver les hublots";"Type - Nature: autre";;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;Autre;"monte puis redescend au meme endroit";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;1;0.0;;;;;;;;;;;;;;;Montante;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
7;1953-04-00005;40;0;;1953.04.02;"LIMOGES (87) 11.04.1953 T1";;;"Le temoin apereoit dans le ciel tres clair un gros point rouge orange qui se dirige d'Est en Ouest e tres haute altitude. En 8 minutes environ il parcoure aller et retour un secteur representant 45e de la route celeste, sa trajectoire n'est pas rectiligne mais en ligne brisee irreguliere formant des angles d'environ 15e sur l'axe du deplacement, les changements de cap s'effectuant toutes les secondes.
Le sens est-ouest a ete pris apres un virage de 180e exactement en prenant de l'altitude, et toujours par changements de cap successifs.
le temoin appelle l'adjudant-chef (pas de tem retrouve) et  la sentinelle du Cheteau-d'Eau le premiere classe (pas de tem retrouve). Ces temoins suivent durant 2 ou 3 minutes le point qui s'enfuie avec des changements de cap puis qui fait enfin un pique prolonge e la suite duquel il est  perdu de vue.
Aucune forme n'a pu etre distinguee, c'etait un gros point rond (?) d'une jolie couleur rouge orangee. Il se deplaeait sans aucun bruit, sans traenee lumineuse, les deux temoins le virent sous forme d'etoile qui s'enfuyait, sa couleur seule le distinguant des astres visibles.";;1;T;1;;H;;;;;;"32. Cadres de la fonction publique, professions intellectuelles et  artistiques";;;;;;;;;;;;;;;;;;;;O;5985;;1;1953309799;53700453;;;37;1;;1;;;;1953;04;11;"1953-04-11 21:10:00";21:10;;;21:10:00;0;;;8m;00:08;;LIMOGES;87000;87;FR;;;;;;Ciel;45.8;1.3;0.1;"entrepot de l'armee de l'air Limoges-Romanet";;;;;;;Est;;"tres haute altitude";NP;;270;;;;Autre;"aller-retour en prenant de l'altitude avec trajectoire en zig zag angle de 15e avec changment de cap toutes les secondes";;;" 15e par minute";;gros;"0.04 < x < 0.1e ou ""Tres petite/Minuscule""";;;"Emotion - Curiosite, Interet - Actif";1;;Direct;;NP;NP2;Inconnu;"ciel tres clair";;NP;;point;"1D - Ponctuel (point)";;" Objet";"Objet unique";"rouge orange";Rouge;NP;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";non;aucun;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;"Chg direction, niveau de vol";;;;;;;;;;;;;;" Phenomene";;;"Orange, feu";;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;Ouest;;NP;;;;;;Autre;"trajectoire en zig zag";;;;;;;;;;0;"le PAN fait un pique prolonge et est perdu de vue";;;;;;;;;;;;;;;;;;;;;;"45e de la voute celeste";1;"Un seul";;;;;"Non precise";;NP
8;1953-11-00006;41;0;;1953.11.01;"VELIZY-VILLACOUBLAY (78) 03.11.1953";;;;;1;T;;;H;;;;;;"36. Cadres d'entreprise";;;;;;;;;;;;;;;;;;;;O;5861;;1;1953309699;53700451;;;38;1;;1;;;;1953;11;03;"1953-11-03 20:14:00";20:14;;;19:14:00;0;;;15m;;;VELIZY-VILLACOUBLAY;78140;78;;;;;;;Ciel;48.8;2.2;0.0;"tour de contrele d'un aerodrome base aerienne 107";;;;;;45.00;;;;;;;;90.00;;"Stationnaire, Immobile";;;;;"Nulle, Immobile, Stationnaire";planete;"x < 0.04e ou ""Ponctuelle""";;;"Emotion - Curiosite, Interet - Actif";1;;;;;;"Belles eclaircies ou Peu nuageux";;;;;"sphere avec un anneau";"Autre forme non categorisee";;" Objet";"Objet unique";;Blanc;;"Intensite - Forte ou lumineux, ex: ampoule (mag. -15 e -10)";;;Inconnu;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;" Phenomene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;45.00;;;;;;;90.00;;"Stationnaire, Immobile";;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
9;1954-08-08234;43;0;2012.04.19;1954.08.01;"MERS-EL-KEBIR (DZ.31) --.08.1954";;;"Temoignage recent d'une observation ancienne pres d'Oran, en Algerie, franeaise e cette date. Le temoin et plusieurs membres de sa famille voient tomber, depuis le ciel vers la mer, un disque lumineux, orange, qui stoppe e quelques metres au-dessus des flots.  Il reste immobile puis repart e 45e vers la droite et le haut du ciel.";;;T;;;H;"GARDE (LA)";83130;83;FR;;"7. Retraites";;;;;;;;;;;;;;;;;;;;O;8004;;;1954311489;;1504;;39;1;;1;;;;1954;08;??;"1954-08-15 20:00:00";"20H00 environ";;;;1296900;;;"2 min environ";;;SAINTE-CLOTILDE;;;;;;;;;Ciel;35.7;-0.7;10.0;"sur une terrasse d'une villa au bord de la mer";;;;;;;;;;;;8;;;;;;;;;;"bras et main tendu vers l'horizon, le diametre egal celui d'une balle de ping pong ou de golf";;;;"Emotion - Curiosite, Interet - Passif";;;;;;;"Soleil ou Nuit claire";;;;;disque;;"disque orange";;"Objet unique";;;;"Intensite - Tres forte, brillante, ex: projecteur puissant (mag. -20 e -15)";;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;;;
10;1954-09-00007;56;0;;1954.09.13;"TANGER (MA.01) 05.09.1954";;;"observation dans le ciel d'une tache sombre qui amorce un pique vers l'Ouest e tres grande vitesse, fait un palier, remonte en chandelle e son altitude de depart s'arrete pour repartir apres 1 e 2 minutes en ligne droite . l'engin fait de nombreuses evolutions dans le ciel. absence de trainee de condensation, de bruit de lueur";1;1;T;;;H;;;;;;"51. Employes de la fonction publique";;;;;;;;;;;;;;;;;;;;O;5824;;1;1954309668;54800495;;;52;1;;1;;;;1954;09;05;"1954-09-05 17:15:00";17:15;;;17:15:00;0;;;10m;;;TANGER;;MA.01;FR;;;;;;Ciel;;;0.0;"Maroc, Cap Spartel, e proximite immediate du poste hertzien des PTT";"Territoires artificialises - Zones industrielles ou commerciales et reseaux de communication - Reseaux routier et ferroviaire et espaces associes";;;;;;""" e l'aplomb du parallele passant par le pont international et e une quinzaine de kms e l'Ouest de ce pont""";;"altitude de 8000 metres";;;-3492;;180.00;" "" e l'aplomb du parallele passant par le pont international et e une quinzaine de kms e l'Ouest de ce pont""";"Stationnaire, Immobile";;;;;"Variable (acceleration, deceleration, etc.) (valeur conservee pour compatibilite: utiliser la nature de la trajectoire)";"""grand disque""""engin ayant approximativement les dimensions d'un avion""";;;;"Emotion - Curiosite, Interet - Actif";1;;;;;;Inconnu;;;;;disque;"3D - 2 axes de symetrie - Spherique, Boule";"tache, point noir, engin";" Termes descriptifs (lumieres, forme, etc.)";"Objet unique";;Noir;;Inconnue;;;"Aucun, Silence total";;;;;;;;;;;;;0.0;;;;;;;;;;;;;90.00;;"Chg direction, niveau de vol";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;"disparition e l'horizon";;;;;;270.00;;Descendante;"disparition dans la brume de l'horizon";;;;;;;;;;0;"""disparition du phenomene dans la brume de l'horizon""";;;;;;;;;;;;;;;;;;;;;;;1;"Un seul";;;;;"Observation en continu";;
